Time,LA,LD,RPM,Gear,TPS,HP,Speed,Distance,Ticks
0.016666666666666666,0.0,0.0,1500,1,0.0,821.1157654226961,0.0,0.0,1
0.03333333333333333,0.0,0.0,1500,1,1.0,821.1157654226961,25.824592388647154,0.0,2
0.05,1.611078090612124,-0.007236450009925053,1593.1578096063542,1,1.0,865.0466354994711,27.428434029249352,0.0001269834908761544,3
0.06666666666666667,1.5980272640011488,-0.007460613501898402,1685.5445524382653,1,1.0,907.797921907994,29.019000679748604,0.0002613307162453609,4
0.08333333333333333,1.5850844590238005,-0.007696256850989844,1777.165836044638,1,1.0,949.3924914211755,30.596388881921413,0.00040298066477277485,5
0.1,1.5722488900975407,-0.007943063058612256,1868.0272407570674,1,1.0,989.8528349976873,32.16069470896034,0.0005518727699068505,6
0.11666666666666667,1.5595197754528072,-0.008200720992807626,1958.1343195705542,1,1.0,1029.2010729692101,33.712013763420345,0.0007079469077004633,7
0.13333333333333333,1.5468963371497224,-0.008468925302266169,2047.4925980301848,1,1.0,1067.4589601772661,35.2504411752678,0.0008711433946229994,8
0.15,1.5343778010939728,-0.008747376331229788,2136.107574123676,1,1.0,1104.6478910595606,36.77607160003055,0.0010414029853638815,9
0.16666666666666666,1.5219633970518558,-0.009035780035279904,2223.984718179685,1,1.0,1140.7889046857927,38.28899921704712,0.0012186668706279885,10
0.18333333333333332,1.5096523586645343,-0.009333847898009515,2311.129472771789,1,1.0,1175.9026897429005,39.789317727813646,0.001402876674923422,11
0.2,1.497443923461481,-0.009641296848578873,2397.547252628034,1,1.0,1210.0095894697358,41.27712035442655,0.0015939744543420635,12
0.21666666666666667,1.4853373328731565,-0.009957849180154037,2483.2434445459517,1,1.0,1243.1296065411716,42.752499838119554,0.0017919026943333577,13
0.23333333333333334,1.4733318322429085,-0.010283232469227126,2568.2234073129644,1,1.0,1275.282407901672,44.21554843789323,0.0019966043074717524,14
0.25,1.4614266708381287,-0.01061717949581691,2652.492471632065,1,1.0,1306.4873295483656,45.666357929235545,0.002208022631218213,15
0.26666666666666666,1.44962110186066,-0.010959428164548136,2736.055940052688,1,1.0,1336.7633812636782,47.105019602931655,0.00242610142567623,16
0.2833333333333333,1.4379143824564844,-0.01130972142660758,2818.9190869066742,1,1.0,1366.1292512976015,48.53162426396153,0.0026507848713427182,17
0.3,1.42630577372469,-0.011667807202574765,2901.0871582492455,1,1.0,1394.603310999691,49.94626223048365,0.0028820175668542165,18
0.31666666666666665,1.414794540725745,-0.012033438306124914,2982.56537180488,1,1.0,1422.2036194008883,51.349023332903265,0.0031197445267287685,19
0.3333333333333333,1.403379952489075,-0.012406372368601482,3063.3589169180245,1,1.0,1448.9479277452945,52.73999691302374,0.0033639111791038782,20
0.35,1.3920612820199736,-0.012786371764455464,3143.4729545085183,1,1.0,1474.8536839720216,54.119271823279256,0.003614463363470912,21
0.36666666666666664,1.380837806305841,-0.013173203537548379,3222.9126170316845,1,1.0,1499.9380371472714,55.48693642604755,0.003871347328406317,22
0.3833333333333333,1.3697088063217813,-0.013566639328315712,3301.683008442952,1,1.0,1524.2178418467952,56.843078593041014,0.0041345097293000255,23
0.4,1.3586735670355519,-0.013966455301787237,3379.78920416697,1,1.0,1547.7096624889095,58.187785704774775,0.00440389762608139,24
0.4166666666666667,1.3477313774118973,-0.014372432076460712,3457.2362510710823,1,1.0,1570.4297776182425,59.52114465011021,0.004679458480943011,25
0.43333333333333335,1.33688153041626,-0.014784354654024976,3534.029167443121,1,1.0,1592.3941841404157,60.84324182587245,0.004961140156062791,26
0.45,1.326123323017895,-0.015202012349928485,3610.1729429733937,1,1.0,1613.6186015078517,62.15416313654041,0.005248890911324552,27
0.4666666666666667,1.31545605619239,-0.015625198724789097,3685.67253874082,1,1.0,1634.1184758569334,63.453993994008016,0.005542659402037553,28
0.48333333333333334,1.3048790349236095,-0.016053711516640742,3760.532887203099,1,1.0,1653.9089840967354,64.74281931741498,0.005842394676655214,29
0.5,1.2943915682050733,-0.016487352574012525,3834.7588921908587,1,1.0,1673.0050379495574,66.02072353304604,0.00614804617449339,30
0.5166666666666666,1.2839929690407736,-0.0169259277898355,3908.3554289056815,1,1.0,1691.4212879435145,67.28779057429698,0.006459563723448468,31
0.5333333333333333,1.2736825544454538,-0.017369247036172476,3981.327343921942,1,1.0,1709.1721273574212,68.54410388170626,0.006776897537715627,32
0.55,1.2634596454443487,-0.017817124099765765,4053.6794551923713,1,1.0,1726.271696118246,69.78974640305084,0.007099998215507529,33
0.5666666666666667,1.253323567072408,-0.01826937661839797,4125.416552057274,1,1.0,1742.7338846513915,71.02480059350485,0.007428816736773755,34
0.5833333333333334,1.2432736483730022,-0.018725826018060512,4196.543395257319,1,1.0,1758.5723376840883,72.24934841585979,0.007763304460921255,35
0.6,1.233309222396133,-0.0191862974509247,4267.064716949833,1,1.0,1773.800458002174,73.463471340805,0.008103413124536094,36
0.6166666666666667,1.2234296261961488,-0.01965061973410984,4336.985220728505,1,1.0,1788.431410160562,74.66725034726704,0.008449094839106774,37
0.6333333333333333,1.2136342008289853,-0.02011862528924299,4406.309581646459,1,1.0,1802.4781241476853,75.86076592280679,0.008800302088749398,38
0.65,1.203922291348933,-0.020590150082804626,4475.042446242592,1,1.0,1815.9532990042278,77.04409806407293,0.00915698772793492,39
0.6666666666666666,1.1942932468049468,-0.02106503356725465,4543.188432571119,1,1.0,1828.8694063964458,78.21732627731062,0.009519104979218766,40
