rally_Time,rally_LA,rally_LD,rally_RPM,rally_Gear,rally_TPS,rally_HP,rally_Speed,rally_Distance,rally_Ticks,econobox_Time,econobox_LA,econobox_LD,econobox_RPM,econobox_Gear,econobox_TPS,econobox_HP,econobox_Speed,econobox_Distance,econobox_Ticks,class_a_Time,class_a_LA,class_a_LD,class_a_RPM,class_a_Gear,class_a_TPS,class_a_HP,class_a_Speed,class_a_Distance,class_a_Ticks
6.966666666666667,0.2023871684079328,-0.04940670000770801,6595.401095368271,5,1.0,414.4564003116326,120.30437374801303,0.14726366544441238,418,6.966666666666667,0.09618824020488695,-0.018211073109863297,5706.097990808701,3,1.0,106.02543268026012,64.75100172357487,0.07847314931857372,418,6.966666666666667,0.40249401288436404,-0.19978306661244344,4080.6672180937708,4,1.0,1732.5223196112843,252.91576219436732,0.34339419208254723,418
6.983333333333333,0.2023460327823287,-0.0495186133514539,6603.77949507324,5,1.0,411.8476608017928,120.45720116744391,0.14782133767203945,419,6.983333333333333,0.09617469593935188,-0.018241776974831724,5712.965728148422,3,1.0,106.1381015891434,64.8289346425394,0.07877328327525214,419,6.983333333333333,0.4023464760984986,-0.2000948979110381,4083.9304444650998,4,1.0,1733.2734150236763,253.11801377255478,0.3445660347389016,419
7.0,0.20081728699898252,-0.04963055691899274,6612.067947887625,5,1.0,405.5819237199088,120.6083878975239,0.14837970983823168,420,7.0,0.09616115935950806,-0.018272500383185026,5719.829565134124,3,1.0,106.25067061905077,64.90682330151571,0.07907377782757397,420,7.0,0.4021992736492438,-0.20040627174377385,4087.186271941299,4,1.0,1734.0217971102184,253.31980677446023,0.3457388116221167,420
7.016666666666667,0.1975142064542488,-0.04974143854433722,6620.169238347606,5,1.0,399.4412409233419,120.75616066543381,0.14893876613760867,421,7.016666666666667,0.09614763046741506,-0.018303243267292733,5726.689500727007,3,1.0,106.36313981412222,64.98466768871583,0.07937463277057728,421,7.016666666666667,0.40205240496031097,-0.20071718763516289,4090.4347132960734,4,1.0,1734.7674756812369,253.52114199178538,0.34691252061281946,421
7.033333333333333,0.19428571309066814,-0.04984995074660585,6628.087585415931,5,1.0,393.4235279241221,120.90059642777787,0.1494984911210706,422,7.033333333333333,0.09613410926512052,-0.018334005559565193,5733.545533894403,3,1.0,106.47550921858512,65.06246779242139,0.0796758478992459,422,7.033333333333333,0.4019058694554852,-0.20102764511729437,4093.675781301379,4,1.0,1735.5104605152549,253.72202021612358,0.3480871595953015,422
7.05,0.19113012558434384,-0.0499561409295765,6635.827113281975,5,1.0,387.5267142180889,121.04177041243264,0.15005886968779483,423,7.05,0.09612059575465969,-0.01836478719245376,5740.39766360978,3,1.0,106.58777887675414,65.14022360098359,0.07997742300850971,423,7.05,0.40175966655863005,-0.20133764372979937,4096.909488727306,4,1.0,1736.2507613590603,253.9224422389524,0.3492627264575189,423
7.066666666666666,0.18804580038008117,-0.05006005570077575,6643.391853475953,5,1.0,381.748744443826,121.17975615711195,0.15061988707741109,424,7.066666666666666,0.09610708993805603,-0.018395588098450977,5747.245888852729,3,1.0,106.69994883303089,65.21793510282319,0.080279357893245,424,7.066666666666666,0.40161379569369327,-0.2016471830198171,4100.135848341953,4,1.0,1736.9883879277702,254.1224088516263,0.3504392190910912,424
7.083333333333333,0.18503113084883566,-0.050161740877211466,6650.785746936666,5,1.0,376.08757944993454,121.31462554708358,0.15118152886235128,425,7.083333333333333,0.09609359181732073,-0.018426408210090745,5754.090208608969,3,1.0,106.81201913190374,65.29560228643042,0.08058165234827477,425,7.083333333333333,0.4014682562847126,-0.20195626254196059,4103.3548729113145,4,1.0,1737.7233499048964,254.32192084536905,0.3516166353913013,425
7.1,0.1820845464636865,-0.05026124149152042,6658.012646033698,5,1.0,370.54119727564097,121.44644885205575,0.15174378094037005,426,7.1,0.0960801013944531,-0.01845724745994849,5760.930621870332,3,1.0,106.92398981794737,65.37322514036492,0.08088430616836906,426,7.1,0.40132304775582095,-0.20226488185828242,4106.56657519916,4,1.0,1738.4556569424085,254.52097901126658,0.3527949732570942,426
7.116666666666666,0.179204511993957,-0.05035860179849737,6665.0763165451035,5,1.0,365.1075940494267,121.57529476225122,0.15230662952723234,427,7.116666666666666,0.09606661867144013,-0.01848810578064133,5767.767127634766,3,1.0,107.03586093582274,65.45080365325572,0.08118731914824524,427,7.116666666666666,0.4011781695312508,-0.20257304053824104,4109.770967966916,4,1.0,1739.1853186608046,254.7195841402596,0.35397423059107685,427
