puffin_Time,puffin_LA,puffin_LD,puffin_RPM,puffin_Gear,puffin_TPS,puffin_HP,puffin_Speed,puffin_Distance,puffin_Ticks,blue_jay_Time,blue_jay_LA,blue_jay_LD,blue_jay_RPM,blue_jay_Gear,blue_jay_TPS,blue_jay_HP,blue_jay_Speed,blue_jay_Distance,blue_jay_Ticks,cardinal_Time,cardinal_LA,cardinal_LD,cardinal_RPM,cardinal_Gear,cardinal_TPS,cardinal_HP,cardinal_Speed,cardinal_Distance,cardinal_Ticks,painted_bunting_Time,painted_bunting_LA,painted_bunting_LD,painted_bunting_RPM,painted_bunting_Gear,painted_bunting_TPS,painted_bunting_HP,painted_bunting_Speed,painted_bunting_Distance,painted_bunting_Ticks
0.016666666666666666,0.0,0.0,1500,1,0.0,14.185072353389184,0.0,0.0,1,0.016666666666666666,0.0,0.0,2400,1,0.0,76.77075399847678,0.0,0.0,1,0.016666666666666666,0.0,0.0,2000,1,0.0,133.28255902513328,0.0,0.0,1,0.016666666666666666,0.0,0.0,1500,1,0.0,821.1157654226961,0.0,0.0,1
0.03333333333333333,0.0,0.0,1500,1,1.0,14.185072353389184,6.567547741522149,0.0,2,0.03333333333333333,0.0,0.0,2400,1,1.0,76.77075399847678,10.508076386435437,0.0,2,0.03333333333333333,0.0,0.0,2000,1,1.0,133.28255902513328,19.611719437175523,0.0,2,0.03333333333333333,0.0,0.0,1500,1,1.0,821.1157654226961,25.824592388647154,0.0,2
0.05,0.12686025406803222,-0.005617320526295357,1527.691370884569,1,1.0,14.602668102691252,6.688790675063886,3.0966623495666136e-05,3,0.05,0.42911119496837746,-0.005822031801316115,2496.677446398499,1,1.0,85.3782366707486,10.931365549602498,5.060817384075231e-05,3,0.05,0.3991672581857565,-0.006656246681750929,2040.02820994471,1,1.0,137.50490122405336,20.00423044867953,9.261217800314597e-05,3,0.05,1.867532529369075,-0.0075150747547790666,1608.0375689936532,1,1.0,871.987032255449,27.684609843261452,0.00012816949001509932,3
0.06666666666666667,0.12822770502147307,-0.005622210321904809,1555.6939449483443,1,1.0,15.030697912353133,6.811396169763454,6.25008650223488e-05,4,0.06666666666666667,0.4587436053616283,-0.005849641477590101,2600.1165034960277,1,1.0,95.06068533716025,11.384259513486537,0.00010331307899578258,4,0.06666666666666667,0.40373238698967456,-0.006703554465888927,2080.5171465517865,1,1.0,141.83791540220236,20.401259281203316,0.0001870624524531613,4,0.06666666666666667,1.8499878620221526,-0.007817874972958166,1715.038482657195,1,1.0,921.2749084895487,29.526779830310645,0.000264867544785056,4
0.08333333333333333,0.12961052376171997,-0.005627246028304081,1584.0111988031324,1,1.0,15.469408482225878,6.93537944749687,9.460910320520468e-05,5,0.08333333333333333,0.4904485035027158,-0.005880389435393392,2710.7898019184495,1,1.0,105.96172615993794,11.86882762755386,0.00015826135504927268,5,0.08333333333333333,0.4083500606503328,-0.006752360453973621,2121.4720155506875,1,1.0,146.28430190576404,20.802856981399675,0.0002833719755151968,5,0.08333333333333333,1.8326115414187725,-0.008138518802891487,1821.0114828400328,1,1.0,969.0149684065675,31.351252852926525,0.0004100122339189751,5
0.1,0.1310088819702743,-0.005632431337348015,1612.6466474288632,1,1.0,15.919052188974074,7.060755898129797,0.00012729778791876854,6,0.1,0.5243707544578139,-0.005914669855850469,2829.202968827946,1,1.0,118.24493076916032,12.387283712155822,0.0002156098907536978,6,0.1,0.4130208728696609,-0.006802703850049447,2162.898079218475,1,1.0,150.84682444620486,21.209075150419284,0.0003815621382486194,6,0.1,1.815402147933878,-0.008476434793382493,1925.965262126101,1,1.0,1015.2421085644921,33.15817856606702,0.0005635223198729891,6
0.11666666666666667,0.13242295322332603,-0.0056377700284403155,1641.6038445863292,1,1.0,16.379887214576552,7.1875410813246825,0.00016057344107304949,7,0.11666666666666667,0.560665336995331,-0.005952929756776217,2955.8969257819585,1,1.0,132.096642271103,12.941996119394377,0.0002755265394545977,7,0.11666666666666667,0.4177454237987178,-0.00685462480689709,2204.800656940747,1,1.0,155.52831154336386,21.619965949411107,0.00048165457319959676,7,0.11666666666666667,1.7983582699428386,-0.008831063754732249,2029.9084635863574,1,1.0,1059.9905586482826,34.94770577225513,0.0007253172540037998,7
0.13333333333333333,0.13385291301213587,-0.005643265970543728,1670.8863832341283,1,1.0,16.85217767769707,7.315750728366274,0.00019444265740807854,8,0.13333333333333333,0.5994980478980514,-0.005995676340284078,3091.450345775875,1,1.0,150.01697276944208,13.535498490952143,0.00033819088432011685,8,0.13333333333333333,0.4225243201016649,-0.006908164447959093,2247.185125776853,1,1.0,160.33165800034294,22.03558210506481,0.0005836711570193412,8,0.13333333333333333,1.781478503861639,-0.009201858550281133,2132.849680545728,1,1.0,1103.2938921977554,36.719982417566484,0.0008953171726036447,8
0.15,0.13529893876362428,-0.005648923124235413,1700.4978959498335,1,1.0,17.336193767987986,7.4454007440056635,0.00022891210529699365,9,0.15,0.6509736396147984,-0.006043485381572193,3238.7496528267634,1,1.0,171.92557109658543,14.18042864518537,0.00040384101693671575,9,0.15,0.4273581750202274,-0.006963364889752187,2290.0569210293975,1,1.0,165.2598264108671,22.455976915195286,0.0006876340131082083,9,0.15,1.764761454184729,-0.009588283890443866,2234.797456364208,1,1.0,1145.1850372126223,38.47515558786077,0.001073442892917815,9
0.16666666666666666,0.13676120986116982,-0.005654745543808556,1730.4420553554357,1,1.0,17.832211883391484,7.576507208323025,0.0002639885275577484,10,0.16666666666666666,0.7121121189054282,-0.006097867081861516,3400.00030823348,1,1.0,197.44864133858044,14.886442897008935,0.0004727597340524979,10,0.16666666666666666,0.4322476084386441,-0.007020269264776602,2333.421536818039,1,1.0,170.3158486997966,22.881204254369155,0.0007935655142858433,10,0.16666666666666666,1.7482057335205698,-0.009989816129237784,2335.7602842318497,1,1.0,1185.696286634577,40.2133715052521,0.0012596159091458339,10
